county,lat,lng
Lonoke,34.7543,-91.8888
Wood,44.4553,-90.0416
Chatham,35.7026,-79.2553
Pottawatomie,35.2066,-96.9484
Walker,30.7390,-95.5723
McKinley,35.5807,-108.2618
Kauai,22.0398,-159.5966
Surry,36.4146,-80.6880
Apache,35.3955,-109.4888
Creek,35.9026,-96.3708
Christian,36.8942,-87.4904
DeKalb,34.4598,-85.8041
Walton,30.6436,-86.1696
Allegany,39.6215,-78.6976
Madison,42.9128,-75.6697
Robertson,36.5255,-86.8706
Columbia,30.2242,-82.6215
Portage,44.4760,-89.5014
Iberia,29.8965,-91.7301
Greenwood,34.1537,-82.1259
Franklin,42.5831,-72.5918
Jackson,34.1339,-83.5664
Isabella,43.6406,-84.8468
Lea,32.7921,-103.4125
Fauquier,38.7387,-77.8092
Grand Forks,47.9219,-97.4569
Morgan,39.4815,-86.4462
Troup,33.0335,-85.0283
Tooele,40.4488,-113.1311
Broomfield,39.9542,-105.0526
Walker,34.7356,-85.3010
Carteret,34.8357,-76.6589
Greene,36.1753,-82.8458
Ward,48.2217,-101.5418
Lewis and Clark,47.1224,-112.3905
Muskogee,35.6161,-95.3795
York,37.2431,-76.5635
Wilkes,36.2062,-81.1630
Jones,31.6226,-89.1688
Shiawassee,42.9537,-84.1467
Jefferson,34.2683,-91.9304
Franklin,36.0828,-78.2857
Wise,33.2159,-97.6545
Harrison,39.2835,-80.3798
Klamath,42.6863,-121.6501
Aroostook,46.6589,-68.5989
Belmont,40.0158,-80.9884
Blue Earth,44.0346,-94.0670
Catoosa,34.9036,-85.1382
Laurens,34.4834,-82.0057
San Patricio,28.0092,-97.5188
Williamson,37.7303,-88.9299
Butler,37.7813,-96.8391
Boone,40.0508,-86.4687
Darlington,34.3325,-79.9577
Otero,32.6132,-105.7414
Rutherford,35.4026,-81.9198
St. Francois,37.8103,-90.4723
Rice,44.3543,-93.2967
Harrison,32.5481,-94.3715
Oldham,38.3994,-85.4483
Marquette,46.4313,-87.6416
Wayne,39.8644,-85.0099
Grant,40.5158,-85.6547
Spalding,33.2609,-84.2841
Athens,39.3339,-82.0452
Jefferson,40.3850,-80.7610
Kershaw,34.3388,-80.5902
Adams,39.9879,-91.1886
McCracken,37.0540,-88.7128
Columbia,41.0486,-76.4052
Armstrong,40.8121,-79.4646
Mason,47.3484,-123.1928
Marion,40.5872,-83.1609
Nacogdoches,31.6160,-94.6159
Chaves,33.3633,-104.4669
Pulaski,37.1039,-84.5772
Crow Wing,46.4824,-94.0709
Hamblen,36.2171,-83.2667
Ionia,42.9451,-85.0746
Lake,39.0996,-122.7532
Warren,43.5610,-73.8460
Tehama,40.1257,-122.2340
Coos,43.1742,-124.0594
Chippewa,45.0694,-91.2799
Sauk,43.4267,-89.9482
Starr,26.5622,-98.7384
Clay,46.8923,-96.4907
Carbon,40.9182,-75.7088
Pope,35.4478,-93.0345
Walker,33.8033,-87.2974
Montcalm,43.3109,-85.1525
Sampson,34.9916,-78.3714
Livingston,42.7281,-77.7755
Crawford,35.5880,-94.2429
Salem,39.5876,-75.3491
Lamar,31.2060,-89.5087
Warrick,38.0922,-87.2721
Reno,37.9529,-98.0860
Acadia,30.2906,-92.4120
Effingham,32.3673,-81.3414
Georgetown,33.4343,-79.3324
Stanly,35.3119,-80.2510
Liberty,31.8282,-81.4949
Pender,34.5248,-77.9051
Haywood,35.5560,-82.9822
Knox,40.3988,-82.4215
Herkimer,43.4197,-74.9625
Tipton,35.4973,-89.7566
Garfield,36.3791,-97.7827
San Benito,36.6057,-121.0750
Hall,40.8726,-98.5022
Washington,43.3137,-73.4308
Belknap,43.5179,-71.4227
Lee,35.4752,-79.1715
